ticker,sector,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,avg_block_count,avg_combined_score,composite_score
UCTT,Technology,17,0,0.000,17,1.000,0.00,0.0,79.4,0.00
UAA,Consumer Cyclical,9,0,0.000,9,1.000,0.00,0.0,87.2,0.00
UA,Consumer Cyclical,7,0,0.000,7,1.000,0.00,0.0,86.2,0.00
TYRA,Healthcare,6,0,0.000,6,1.000,0.00,0.0,88.3,0.00
TXT,Industrials,9,0,0.000,9,1.000,0.00,0.0,78.6,0.00
TXRH,Consumer Cyclical,5,0,0.000,5,1.000,0.00,0.0,75.4,0.00
TXN,Technology,9,0,0.000,9,1.000,0.00,0.0,84.0,0.00
TXG,Healthcare,15,0,0.000,15,1.000,0.00,0.0,81.6,0.00
TWST,Healthcare,21,0,0.000,21,1.000,0.00,0.0,82.6,0.00
TWLO,Communication Services,9,0,0.000,9,1.000,0.00,0.0,83.5,0.00
TW,Financial Services,15,0,0.000,15,1.000,0.00,0.0,78.6,0.00
TTMI,Technology,19,0,0.000,19,1.000,0.00,0.0,77.2,0.00
TTEK,Industrials,6,0,0.000,6,1.000,0.00,0.0,85.5,0.00
TTE,Energy,23,0,0.000,23,1.000,0.00,0.0,81.0,0.00
TT,Industrials,11,0,0.000,11,1.000,0.00,0.0,82.5,0.00
TSN,Consumer Defensive,12,0,0.000,12,1.000,0.00,0.0,82.6,0.00
TS,Energy,19,0,0.000,19,1.000,0.00,0.0,86.7,0.00
TRV,Financial Services,10,0,0.000,10,1.000,0.00,0.0,75.5,0.00
TRP,Energy,21,0,0.000,21,1.000,0.00,0.0,82.4,0.00
TRMD,Energy,19,0,0.000,19,1.000,0.00,0.0,86.2,0.00
TRGP,Energy,23,0,0.000,23,1.000,0.00,0.0,82.9,0.00
TPR,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,81.0,0.00
TPL,Energy,9,0,0.000,9,1.000,0.00,0.0,85.4,0.00
TPC,Industrials,7,0,0.000,7,1.000,0.00,0.0,76.4,0.00
TNL,Consumer Cyclical,9,0,0.000,9,1.000,0.00,0.0,85.2,0.00
TNK,Energy,13,0,0.000,13,1.000,0.00,0.0,84.6,0.00
TNGX,Healthcare,5,0,0.000,5,1.000,0.00,0.0,76.7,0.00
TMHC,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,78.2,0.00
TMDX,Healthcare,6,0,0.000,6,1.000,0.00,0.0,89.3,0.00
TKR,Industrials,8,0,0.000,8,1.000,0.00,0.0,85.1,0.00
TKO,Communication Services,9,0,0.000,9,1.000,0.00,0.0,88.6,0.00
TKC,Communication Services,5,0,0.000,5,1.000,0.00,0.0,79.0,0.00
TIGO,Communication Services,16,0,0.000,16,1.000,0.00,0.0,83.8,0.00
TGT,Consumer Defensive,12,0,0.000,12,1.000,0.00,0.0,81.3,0.00
TGNA,Communication Services,8,0,0.000,8,1.000,0.00,0.0,88.9,0.00
TGB,Basic Materials,10,0,0.000,10,1.000,0.00,0.0,87.0,0.00
TFSL,Financial Services,6,0,0.000,6,1.000,0.00,0.0,74.7,0.00
TFPM,Basic Materials,9,0,0.000,9,1.000,0.00,0.0,88.3,0.00
TEX,Industrials,7,0,0.000,7,1.000,0.00,0.0,85.8,0.00
TEVA,Healthcare,6,0,0.000,6,1.000,0.00,0.0,87.4,0.00
TERN,Healthcare,13,0,0.000,13,1.000,0.00,0.0,82.8,0.00
TECK,Basic Materials,19,0,0.000,19,1.000,0.00,0.0,77.3,0.00
TDW,Energy,17,0,0.000,17,1.000,0.00,0.0,84.3,0.00
TDS,Communication Services,7,0,0.000,7,1.000,0.00,0.0,81.3,0.00
TDC,Technology,9,0,0.000,9,1.000,0.00,0.0,78.3,0.00
TD,Financial Services,9,0,0.000,9,1.000,0.00,0.0,78.8,0.00
TALO,Energy,22,0,0.000,22,1.000,0.00,0.0,84.5,0.00
TAL,Consumer Defensive,7,0,0.000,7,1.000,0.00,0.0,86.2,0.00
TAK,Healthcare,10,0,0.000,10,1.000,0.00,0.0,76.8,0.00
T,Communication Services,18,0,0.000,18,1.000,0.00,0.0,83.5,0.00
SYY,Consumer Defensive,6,0,0.000,6,1.000,0.00,0.0,85.6,0.00
SYRE,Healthcare,9,0,0.000,9,1.000,0.00,0.0,79.4,0.00
SYNA,Technology,6,0,0.000,6,1.000,0.00,0.0,76.0,0.00
SYK,Healthcare,7,0,0.000,7,1.000,0.00,0.0,88.4,0.00
SW,Consumer Cyclical,9,0,0.000,9,1.000,0.00,0.0,85.8,0.00
SVM,Basic Materials,25,0,0.000,25,1.000,0.00,0.0,82.1,0.00
SUZ,Basic Materials,10,0,0.000,10,1.000,0.00,0.0,75.9,0.00
SUPN,Healthcare,9,0,0.000,9,1.000,0.00,0.0,81.4,0.00
SUNC,Energy,14,0,0.000,0,0.000,0.00,0.0,82.4,0.00
SUN,Energy,13,0,0.000,13,1.000,0.00,0.0,83.7,0.00
SUI,Real Estate,8,0,0.000,8,1.000,0.00,0.0,73.9,0.00
SU,Energy,24,0,0.000,24,1.000,0.00,0.0,81.2,0.00
STZ,Consumer Defensive,6,0,0.000,6,1.000,0.00,0.0,89.4,0.00
STT,Financial Services,8,0,0.000,8,1.000,0.00,0.0,75.6,0.00
STRL,Industrials,6,0,0.000,6,1.000,0.00,0.0,80.0,0.00
STNG,Energy,23,0,0.000,23,1.000,0.00,0.0,81.1,0.00
STLD,Basic Materials,12,0,0.000,12,1.000,0.00,0.0,78.2,0.00
STAG,Real Estate,9,0,0.000,9,1.000,0.00,0.0,77.9,0.00
ST,Technology,10,0,0.000,10,1.000,0.00,0.0,80.2,0.00
SSRM,Basic Materials,19,0,0.000,19,1.000,0.00,0.0,80.1,0.00
SSL,Basic Materials,22,0,0.000,22,1.000,0.00,0.0,79.2,0.00
SRRK,Healthcare,8,0,0.000,8,1.000,0.00,0.0,84.7,0.00
SRE,Utilities,20,0,0.000,20,1.000,0.00,0.0,79.6,0.00
SQM,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,82.3,0.00
SPNT,Financial Services,6,0,0.000,6,1.000,0.00,0.0,88.0,0.00
SPHR,Communication Services,16,0,0.000,16,1.000,0.00,0.0,84.6,0.00
SPG,Real Estate,13,0,0.000,13,1.000,0.00,0.0,78.2,0.00
SON,Consumer Cyclical,20,0,0.000,20,1.000,0.00,0.0,80.9,0.00
SOLS,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,81.2,0.00
SOBO,Energy,17,0,0.000,17,1.000,0.00,0.0,81.6,0.00
SO,Utilities,23,0,0.000,23,1.000,0.00,0.0,83.6,0.00
SNX,Technology,5,0,0.000,5,1.000,0.00,0.0,87.9,0.00
SNDX,Healthcare,5,0,0.000,5,1.000,0.00,0.0,76.6,0.00
SNDR,Industrials,8,0,0.000,8,1.000,0.00,0.0,82.5,0.00
SN,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,78.4,0.00
SMTC,Technology,16,0,0.000,16,1.000,0.00,0.0,77.5,0.00
SMG,Basic Materials,8,0,0.000,8,1.000,0.00,0.0,78.8,0.00
SMFG,Financial Services,11,0,0.000,11,1.000,0.00,0.0,78.2,0.00
SM,Energy,15,0,0.000,15,1.000,0.00,0.0,85.3,0.00
SLGN,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,76.7,0.00
SLF,Financial Services,8,0,0.000,8,1.000,0.00,0.0,78.6,0.00
SLDE,Financial Services,16,0,0.000,16,1.000,0.00,0.0,80.7,0.00
SLB,Energy,15,0,0.000,15,1.000,0.00,0.0,82.0,0.00
SLAB,Technology,5,0,0.000,5,1.000,0.00,0.0,92.5,0.00
SKT,Real Estate,8,0,0.000,8,1.000,0.00,0.0,75.4,0.00
SKM,Communication Services,18,0,0.000,18,1.000,0.00,0.0,84.4,0.00
SKE,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,78.6,0.00
SJM,Consumer Defensive,7,0,0.000,7,1.000,0.00,0.0,85.9,0.00
SIRI,Communication Services,12,0,0.000,12,1.000,0.00,0.0,84.2,0.00
SIMO,Technology,6,0,0.000,6,1.000,0.00,0.0,81.9,0.00
SIG,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,78.8,0.00
SHW,Basic Materials,6,0,0.000,6,1.000,0.00,0.0,87.5,0.00
SFNC,Financial Services,8,0,0.000,8,1.000,0.00,0.0,75.9,0.00
SFD,Consumer Defensive,16,0,0.000,16,1.000,0.00,0.0,81.0,0.00
SEM,Healthcare,9,0,0.000,9,1.000,0.00,0.0,77.6,0.00
SEI,Energy,20,0,0.000,20,1.000,0.00,0.0,82.0,0.00
SEE,Consumer Cyclical,14,0,0.000,14,1.000,0.00,0.0,80.1,0.00
SEDG,Energy,17,0,0.000,17,1.000,0.00,0.0,84.4,0.00
SDRL,Energy,16,0,0.000,16,1.000,0.00,0.0,83.5,0.00
SCI,Consumer Cyclical,12,0,0.000,12,1.000,0.00,0.0,84.3,0.00
SCCO,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,79.2,0.00
SBUX,Consumer Cyclical,13,0,0.000,13,1.000,0.00,0.0,81.8,0.00
SBSW,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,77.2,0.00
SBS,Utilities,16,0,0.000,16,1.000,0.00,0.0,81.5,0.00
SBRA,Real Estate,18,0,0.000,18,1.000,0.00,0.0,79.2,0.00
SBLK,Industrials,11,0,0.000,11,1.000,0.00,0.0,77.3,0.00
SATS,Technology,14,0,0.000,14,1.000,0.00,0.0,84.3,0.00
SAN,Financial Services,6,0,0.000,6,1.000,0.00,0.0,85.9,0.00
SA,Basic Materials,15,0,0.000,15,1.000,0.00,0.0,82.8,0.00
RXO,Industrials,7,0,0.000,7,1.000,0.00,0.0,85.5,0.00
RVMD,Healthcare,9,0,0.000,9,1.000,0.00,0.0,74.4,0.00
RTO,Industrials,14,0,0.000,14,1.000,0.00,0.0,80.6,0.00
RSI,Consumer Cyclical,22,0,0.000,22,1.000,0.00,0.0,82.5,0.00
RSG,Industrials,7,0,0.000,7,1.000,0.00,0.0,86.3,0.00
RRX,Industrials,11,0,0.000,11,1.000,0.00,0.0,80.9,0.00
RRC,Energy,22,0,0.000,22,1.000,0.00,0.0,84.6,0.00
RPRX,Healthcare,21,0,0.000,21,1.000,0.00,0.0,79.1,0.00
ROST,Consumer Cyclical,12,0,0.000,12,1.000,0.00,0.0,82.9,0.00
ROKU,Communication Services,8,0,0.000,8,1.000,0.00,0.0,90.8,0.00
ROK,Industrials,5,0,0.000,5,1.000,0.00,0.0,90.3,0.00
RNG,Technology,18,0,0.000,18,1.000,0.00,0.0,80.2,0.00
