ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
AVAV,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.264,79.0
AVDL,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.065,101.2
AVGO,Technology,C,4,4,1.00,4,1.00,0.08,0.62,3.8,0.502,90.6
AVNT,Basic Materials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,8.738,75.2
AVT,Technology,C,19,0,0.00,19,1.00,0.00,0.00,0.0,0.216,79.8
AVY,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.902,134.2
AWI,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.202,76.0
AWK,Utilities,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.981,86.8
AXIA,Utilities,D,16,0,0.00,0,0.00,0.00,0.00,0.0,0.000,81.4
AXS,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.696,85.0
AXSM,Healthcare,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.689,79.7
AXTA,Basic Materials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.990,76.0
AXTI,Technology,C,10,2,0.20,10,1.00,0.38,0.41,0.0,0.863,84.7
AZN,Healthcare,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.124,80.4
B,Basic Materials,C,17,0,0.00,17,1.00,0.00,0.00,0.0,0.268,80.5
BA,Industrials,C,8,1,0.12,8,1.00,0.37,0.00,0.0,0.504,78.1
BAC,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.411,71.5
BALL,Consumer Cyclical,C,7,0,0.00,7,1.00,0.00,0.00,0.0,1.050,75.5
BANC,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.531,84.5
BAP,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,3.069,71.5
BATRK,Communication Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.165,110.0
BBAR,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.332,73.0
BBIO,Healthcare,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.383,93.8
BBT,Financial Services,C,17,0,0.00,17,1.00,0.00,0.00,0.0,0.019,79.3
BBVA,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.515,71.5
BC,Consumer Cyclical,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.435,77.7
BCC,Basic Materials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.909,83.5
BCE,Communication Services,C,16,0,0.00,16,1.00,0.00,0.00,0.0,1.298,83.0
BCH,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.236,70.0
BCO,Industrials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.835,79.5
BCRX,Healthcare,C,5,2,0.40,5,1.00,4.47,0.13,0.0,0.257,85.5
BCS,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.079,76.5
BE,Industrials,C,17,1,0.06,17,1.00,0.09,0.00,0.0,0.529,78.4
BEAM,Healthcare,C,8,0,0.00,8,1.00,0.00,0.00,0.0,0.618,86.6
BEN,Financial Services,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.502,81.8
BEP,Utilities,C,15,0,0.00,15,1.00,0.00,0.00,0.0,0.835,82.8
BEPC,Utilities,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.288,78.9
BFH,Financial Services,C,7,0,0.00,7,1.00,0.00,0.00,0.0,4.941,83.7
BG,Consumer Defensive,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.707,80.1
BGC,Financial Services,C,21,0,0.00,21,1.00,0.00,0.00,0.0,0.318,85.0
BHP,Basic Materials,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.936,76.9
BIDU,Communication Services,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.975,78.2
BIIB,Healthcare,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.547,81.8
BILI,Technology,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.987,92.2
BIP,Utilities,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.663,80.7
BIPC,Utilities,C,6,0,0.00,6,1.00,0.00,0.00,0.0,2.152,86.9
BJ,Consumer Defensive,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.205,82.0
BK,Financial Services,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.430,78.8
BKD,Healthcare,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.355,81.1
BKH,Utilities,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.344,80.8
BKR,Energy,C,23,0,0.00,23,1.00,0.00,0.00,0.0,0.803,80.8
BKU,Financial Services,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.204,77.0
BKV,Energy,C,14,0,0.00,14,1.00,0.00,0.00,0.0,1.287,81.2
BLCO,Healthcare,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.890,99.2
BLK,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,1.744,72.8
BMO,Financial Services,C,7,0,0.00,7,1.00,0.00,0.00,0.0,3.026,79.0
BMRN,Healthcare,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.634,83.0
BMY,Healthcare,C,22,0,0.00,22,1.00,0.00,0.00,0.0,0.404,81.0
BN,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.155,72.5
BNL,Real Estate,C,17,0,0.00,17,1.00,0.00,0.00,0.0,0.303,76.5
BNS,Financial Services,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.269,86.0
BNTX,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,1.658,76.2
BOH,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.677,80.2
BP,Energy,C,22,0,0.00,22,1.00,0.00,0.00,0.0,0.362,85.4
BPOP,Financial Services,C,6,0,0.00,6,1.00,0.00,0.00,0.0,0.636,74.2
BRX,Real Estate,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.974,77.5
BSAC,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.000,73.8
BSBR,Financial Services,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.348,77.6
BSM,Energy,C,6,0,0.00,6,1.00,0.00,0.00,0.0,0.207,89.0
BTG,Basic Materials,C,16,2,0.12,16,1.00,0.82,0.35,0.0,0.600,79.3
BTI,Consumer Defensive,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.048,82.9
BTSG,Healthcare,C,15,0,0.00,15,1.00,0.00,0.00,0.0,0.791,82.0
BTU,Energy,C,21,0,0.00,21,1.00,0.00,0.00,0.0,0.653,87.5
BUD,Consumer Defensive,C,4,0,0.00,4,1.00,0.00,0.00,0.0,1.535,91.6
BURL,Consumer Cyclical,C,11,0,0.00,11,1.00,0.00,0.00,0.0,5.042,81.1
BUSE,Financial Services,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.124,77.8
BVN,Basic Materials,C,16,0,0.00,16,1.00,0.00,0.00,0.0,0.729,82.3
BWA,Consumer Cyclical,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.309,81.9
BWLP,Industrials,D,3,0,0.00,0,0.00,0.00,0.00,0.0,0.000,72.7
BWXT,Industrials,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.666,84.1
BXMT,Real Estate,C,3,0,0.00,3,1.00,0.00,0.00,0.0,4.966,75.3
BYD,Consumer Cyclical,C,8,0,0.00,8,1.00,0.00,0.00,0.0,1.832,80.0
C,Financial Services,C,10,2,0.20,10,1.00,0.43,1.09,0.0,0.661,81.1
CACC,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,7.675,82.5
CAE,Industrials,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.352,74.7
CAG,Consumer Defensive,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.544,94.9
CAH,Healthcare,C,8,0,0.00,8,1.00,0.00,0.00,0.0,2.074,83.9
CAKE,Consumer Cyclical,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.842,84.1
CAMT,Technology,C,11,0,0.00,11,1.00,0.00,0.00,0.0,0.690,84.3
CAR,Industrials,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.600,76.8
CARR,Industrials,C,3,0,0.00,3,1.00,0.00,0.00,0.0,8.486,100.2
CASY,Consumer Cyclical,C,5,0,0.00,5,1.00,0.00,0.00,0.0,1.121,90.8
CAT,Industrials,C,10,1,0.10,10,1.00,32.41,0.00,15.0,0.771,78.5
CAVA,Consumer Cyclical,C,17,1,0.06,17,1.00,0.84,0.00,0.0,0.489,82.5
CB,Financial Services,C,11,0,0.00,11,1.00,0.00,0.00,0.0,0.665,81.5
CBC,Financial Services,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.013,89.1
CC,Basic Materials,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.362,81.9
CCEP,Consumer Defensive,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.490,82.7
CCJ,Energy,C,22,1,0.05,22,1.00,1.16,0.00,0.0,0.761,81.8
